CODE_ISIN,CODE_LANGUE
FR0013430576,EN
FR0000448953,EN
FR0013300910,EN
FR0000974149,EN
LU1992133188,EN
LU1883335322,EN
FR0010230474,EN
LU1781541252,EN
LU1437017350,EN
IE000QQ8Z0D8,EN
IE0006IP4XZ8,EN
LU0568620990,EN
FR0010286013,EN
FR0011199371,EN
FR0010611293,EN
FR001400I103,EN
LU1536921650,EN
FR0000979155,EN
LU0658026603,EN
FR0000978371,EN
LU1157401305,EN
LU0251661756,EN
LU0164100710,EN
LU1876459212,EN
FR0000288946,EN
LU0132414144,EN
IE00B8J38129,EN
LU0119133188,EN
LU0568615057,EN
LU0518421895,EN
LU0616241476,EN
LU0119099819,EN
LU0201576401,EN
LU0119110723,EN
LU0319688015,EN
LU0800597873,EN
LU0292585626,EN
LU0266009793,EN
LU0292585030,EN
FR0011550185,FR
LU1664648208,FR
FR0011443001,FR
LU1434526460,FR
IE00B52VJ196,FR
FR0013439403,FR
FR0013346681,FR
LU1190418134,FR
FR0011351626,FR
LU0914729966,FR
FR0010696369,FR
LU0568620560,FR
LU0568621618,FR
FR0010678359,FR
FR0000980989,FR
FR0000945180,FR
LU0503631557,FR
LU0128498267,FR
FR0010505578,FR
LU2080993616,FR
FR0050000100,FR
FR0050000423,FR
FR0050000688,FR
FR00140009Z9,FR
FR0013535481,FR
FR0013535390,FR
FR0013535523,FR
FR0013535549,FR
FR0000000085,FR
FR0050000431,FR
FR0050000449,FR
FR0050000456,FR
LU1992133188,FR
FR0010230474,FR
FR0010696369,EN
FR0010321802,FR
FR0000292278,FR
FR0013473568,FR
FR001400LRT0,FR
XS2604959093,FR
XS2604959176,FR
IE00BK017F69,FR
LU0235308482,FR
LU0278453476,FR
LU0063729296,FR
LU0319688791,FR
LU1161527038,FR
FR0010697482,FR
FR0013030061,FR
LU1103207525,FR
LU0238205289,FR
LU0251130802,FR
LU0107852195,FR
LU0194732953,FR
LU0210533500,FR
LU0289470113,FR
LU0853555463,FR
LU0853555380,FR
FR0010750877,FR
LU1137258932,FR
LU0538387076,FR
LU1023727867,FR
LU0979137147,FR
LU1115951946,FR
LU1023728758,FR
LU0132601682,FR
FR0000003196,FR
IE00BYV1RN13,FR
LU0075938133,FR
BE0943877671,FR
IE00B11XZ988,FR
IE00B4LXFK01,FR
LU0106258311,FR
LU0152980495,FR
FR0010460493,FR
LU0122614208,FR
LU0569862351,FR
FR0007076971,FR
LU0224105477,FR
LU0212925753,FR
LU0122379950,FR
LU0171310443,FR
LU0562822386,FR
LU0278466700,FR
LU0072462426,FR
LU0217402501,FR
IE00B4Z6HC18,FR
LU0132412106,FR
LU0011963245,FR
LU0476876759,FR
LU0498184596,FR
LU0011963674,FR
LU0396314238,FR
FR0010321810,FR
LU0572586591,FR
LU0256839274,FR
LU0857590862,FR
FR0000017329,FR
LU0236501697,FR
FR0010188383,FR
LU0945155991,FR
LU0119085271,FR
LU0319685854,FR
LU0568607203,FR
LU0347592197,FR
LU0557858130,FR
LU0389811372,FR
LU0442407853,FR
LU0433182416,FR
LU0565135745,FR
LU0390717543,FR
LU0568583008,FR
LU0568583933,FR
LU0557866588,FR
LU0201575346,FR
LU0755949848,FR
FR0013123809,FR
FR0010267476,FR
LU0184627536,FR
LU0316218527,FR
LU0072462186,FR
FR0010174144,FR
LU0238690555,FR
LU0171301533,FR
LU0124384867,FR
LU0171307068,FR
LU0589470326,FR
LU0171289902,FR
LU0255977455,FR
FR0010668145,FR
LU1279613951,FR
FR0013073731,FR
LU0272941971,FR
LU1073905967,FR
